emoji	keywords
🌇	building, dusk, sun, sunset, அஸ்தமனம், சூரிய, நகரத்தில், நேர, மாலை, முடிவு, வேலை
🌈	gay, genderqueer, glbt, glbtq, lesbian, lgbt, lgbtq, lgbtqia, nature, pride, queer, rain, rainbow, tran, trans, transgender, weather, இருபாலினத்தவர், ஓரினச்சேர்க்கையாளர், கே, லெஸ்பியன், வண்ணம், வானவில்
🌉	at, bridge, night, இரவின், இரவில், இரவு, பாலம், பின்னணியில்
🌊	nature, ocean, surf, surfer, surfing, water, wave, அலை, ஓசை, கடலலை, கடல், சர்ஃபிங், சீற்றம், நீரலை
🌋	eruption, mountain, nature, volcano, எரிமலை, நெருப்பு, லாவா, வல்கனோ, வெடிக்கும், வெடிப்பு
🌌	milky, space, way, அண்டம், இரவு, பால்வழி, பிரபஞ்சம்
🌍️	africa, earth, europe, globe, showing, world, ஆப்பிரிக்கா, உருண்டை, உலக, ஐரோப்பா, பந்து, பூமி
🌎️	america, americas, earth, globe, showing, world, அமெரிக்கா, உருண்டை, உலக, தென், பூமி, பூமிப்பந்து, வட
🌏️	asia, australia, earth, globe, showing, world, ஆசியா, ஆஸ்திரேலியா, உருண்டை, உலக, பூமி, பூமிப்பந்து
🌐	earth, globe, internet, meridian, meridians, web, world, worldwide, அட்சரேகை, உருண்டை, உலக, தீர்க்கரேகை, தீர்க்கரேகைகளுடன், பூமி
🌑	dark, moon, new, space, அமாவசை, இரவு, இருள், நிலா
🌒	crescent, dream, dreams, moon, space, waxing, இரவு, நிலா, பிறைநிலவு, வளர்பிறை
🌓	first, moon, quarter, space, அரைநிலவு, அரைபாதி, இரவு, நிலா, வளர்பிறை
🌔	gibbou, gibbous, moon, space, waxing, இரவு, நிலவொளி, நிலா, பிறைநிலவு, முக்கால்பகுதி, வளர்பிறை
🌕️	full, moon, space, இரவு, நிலவொளி, பவுர்ணமி, பௌர்ணமி, முழுநிலவு
🌖	gibbou, gibbous, moon, space, waning, இரவு, கால்பகுதி, தேய்பிறை, நிலவொளி, நிலா
🌗	last, moon, quarter, space, அரைநிலவு, அரைபாதி, இரவு, தேய்பிறை, நிலா
🌘	crescent, moon, space, waning, இரவு, தேய்பிறை, நிலா, பிறைநிலவு, முக்கால்பகுதி
🌙	crescent, moon, ramadan, space, தேய்பிறை, நிலவொளி, நிலா, பிறைநிலவு, ரமதான், ரமலான், ரம்ஜான், வளர்பிறை
🌚	moon, new, space, அமாவாசை, கருப்பு, நிலா, முகம்
🌛	first, moon, quarter, space, அரைபாதி, நிலா, முகம், வளர்பிறை
🌜️	dream, dreams, last, moon, quarter, அரைபாதி, தேய்பிறை, நிலா, முகம்
🌝	bright, full, moon, நிலா, பிரகாசம், பௌர்ணமி, முகம், முழுநிலா
🌞	beach, bright, day, heat, shine, sun, sunny, sunshine, weather, ஒளி, கடவுள், கோடை, சூரிய, சூரியக், சூரியன், முகம், வெப்பம், வெயில், வெளிச்சம்
🌟	glittery, glow, glowing, night, shining, sparkle, star, win, ஒளி, திறமை, நட்சத்திரம், வீசும்
🌠	falling, night, shooting, space, star, இரவு, எரிநட்சத்திரம், நட்சத்திரம், வால், விண்வெளி
🌭	dog, frankfurter, hot, hotdog, sausage, இறைச்சி, உணவு, கொத்துக்கறி, சாஸேஜ், டாக், ஹாட், ஹாட்டாக்
🌮	mexican, taco, உணவு, டாகோ, மெக்சிகன், மெக்ஸிகன்
🌯	burrito, mexican, wrap, உணவு, கத்தி, சப்பாத்தி, பரிட்டோ, புரிட்டோ, மெக்சிகன், மெக்ஸிகன், ரோல்
🌰	almond, chestnut, plant, உணவு, செஸ்ட்நட், நட்ஸ், பாதாம், வறுத்த
🌱	plant, sapling, seedling, sprout, young, செடி, தொடக்கம், புதிய, முளை, முளைக்கும், வளர்ச்சி
🌲	christma, christmas, evergreen, forest, pine, tree, அசோக, காலம், கிறிஸ்துமஸ், பசுமை, பைன், மரம்
🌳	deciduou, deciduous, forest, green, habitat, shedding, tree, இலையுதிர், காடு, பசுமை, மரம்
🌴	beach, palm, plant, tree, tropical, கடற்கரை, கேளிக்கை, பனை, பீச், மரம், விடுமுறை
🌵	cactu, cactus, desert, drought, nature, plant, கற்றாழை, கள்ளி, சப்பாத்தி, செடி, பாலைவனம்
🌷	blossom, flower, growth, plant, tulip, இலைகள், செடி, ட்யுலிப், பூ, பூவரசு, மலர், ரோஜா, ரோஸ்
🌸	blossom, cherry, flower, plant, spring, springtime, காலம், செர்ரி, செர்ரிபிலாஸம், பிலாஸம், மலர், வசந்த, வசந்தம்
🌹	beauty, elegant, flower, love, plant, red, rose, valentine, காதல், சிவப்பு, மலர், ரோஜா
🌺	flower, hibiscu, hibiscus, plant, செம்பருத்தி, பூ, மலர்
🌻	flower, outdoor, outdoors, plant, sun, sunflower, சூரியகாந்தி, சூரியன், பூ, மலர்
🌼	blossom, buttercup, dandelion, flower, plant, டேன்டேலியன், பிலாஸம், மஞ்சள், மலர்
🌽	corn, crop, crops, ear, farm, maize, maze, of, உணவு, கார்ன், சோளக்கதிர், சோளம், பாப்கார்ன், மக்காச்சோளம், ஸ்வீட்கார்ன்
🌾	ear, grain, grains, of, plant, rice, sheaf, அரிசி, அறுவடை, நெற்கதிர், நெல், வயல்
🌿	herb, leaf, plant, இலை, இலைகள், செடி, பசுமை, பச்சை, மருந்து, மூலிகை
🍀	clover, four, irish, leaf, lucky, plant, அதிர்ஷ்டம், இலை, இலைகள், கிளாவர், கிளோவர், க்ளோவர், நான்கு
🍁	falling, leaf, maple, இலை, இலையுதிர், இலையுதிர்காலம், மேப்பிள்
🍂	autumn, fall, fallen, falling, leaf, இலைகள், இலையுதிர், இலையுதிர்காலம், உதிரும், வறட்சி
🍃	blow, flutter, fluttering, in, leaf, wind, ஆடும், இலைகள், இலையுதிர்காலம், உதிரும், காற்றில், பசுமை
🍄	fungu, fungus, mushroom, toadstool, உணவு, காளான், சூப்பர், நாய்க்குடை, மஷ்ரூம், மாரியோ
🍄‍🟫	brown, food, fungi, fungu, fungus, mushroom, nature, pizza, portobello, shiitake, shroom, spore, sprout, topping, toppings, truffle, vegetable, vegetarian, veggie, இயற்கை, உணவு, காய்கறி, காளான், சைவ, டாப்பிங், நிற, பழுப்பு, பீட்சா, பூஞ்சை
🍅	food, fruit, tomato, vegetable, உணவு, காய், காய்கறி, தக்காளி, பழம்
🍆	aubergine, eggplant, vegetable, உணவு, கத்தரி, கத்தரிக்காய், காய், காய்கறி
🍇	dionysu, dionysus, fruit, grape, grapes, உணவு, ஒயின், திராட்சை, பழம், பழரசம்
🍈	cantaloupe, fruit, melon, உணவு, தாகம், பழம், முலாம்பழம், மெலன்
🍉	fruit, watermelon, உணவு, கோடைகாலம், தர்பூசணி, தாகம், பழம், மெலன், வாட்டர்
🍊	citru, citrus, fruit, nectarine, orange, tangerine, vitamin, ஆரஞ்சு, ஆரஞ்சுப்பழம், உடல்நலம், உணவு, சி, சிட்ரஸ், பழம், வைட்டமின்
🍋	citru, citrus, fruit, lemon, sour, உணவு, எலுமிச்சை, பழம், புளிப்பு, மஞ்சள், வண்ணம்
🍋‍🟩	acidity, citru, citrus, cocktail, fruit, garnish, key, lime, margarita, mojito, refreshing, salsa, sour, tangy, tequila, tropical, zest, அலங்காரம், உணவு, எலுமிச்சை, சாத்துக்குடி, சிட்ரஸ், ஜூஸ், பழச்சாறு, பழம், பானம், புளிப்பு, வெப்பமண்டலம்
🍌	banana, fruit, potassium, உடல்நலம், உணவு, பழம், பொட்டாசியம், வாழை, வாழைப்பழம்
🍍	colada, fruit, pina, pineapple, tropical, அன்னாசி, அன்னாசிப்பழம், உடல்நலம், உணவு, பழம், பைனாப்பிள்
🍎	apple, diet, food, fruit, health, red, ripe, ஆப்பிள், உடல்நலம், உணவு, சிவப்பு, பழம்
🍏	apple, fruit, green, ஆப்பிள், உணவு, பச்சை, பழம்
🍐	fruit, pear, உணவு, பழம், பியர், பேரிக்காய்
🍑	fruit, peach, உணவு, பழம், பீச்
🍒	berries, berry, cherries, cherry, fruit, red, உணவு, சிவப்பு, செர்ரி, பழம்
🍓	berry, fruit, strawberry, உணவு, பழம், பெர்ரி, ஸ்ட்ராபெர்ரி
🍔	burger, eat, fast, food, hamburger, hungry, உணவகம், உணவு, பர்கர், ஹம்பர்கர்
🍕	cheese, food, hungry, pepperoni, pizza, slice, உணவு, சீஸ், துண்டு, துரித, பசி, பீட்சா, பீட்ஸா, பெப்பரோனி
🍖	bone, meat, on, உணவகம், உணவு, எலும்பு, மாமிசம், விருந்து
🍗	bone, chicken, drumstick, hungry, leg, poultry, turkey, உணவு, எலும்புத்துண்டு, கோழிக்கறி, சிக்கன், பீஸ், லெக், லெக்பீஸ், விருந்து
🍘	cracker, food, rice, அரிசி, உணவு, கிராக்கர், தட்டை, நொறுக்குத்தீனி, ரைஸ்
🍙	ball, food, japanese, rice, அரிசி, உணவகம், உணவு, உருண்டை, சாத, ஜப்பானிய, பந்து
🍚	cooked, food, rice, உணவகம், உணவு, சாதம், சோறு
🍛	curry, food, rice, உணவகம், உணவு, குழம்பு, குழம்பும், சாதமும், சாதம், சாப்பாடு, சாம்பாரும், சோறு, சோறும்
🍜	bowl, chopstick, chopsticks, food, noodle, pho, ramen, soup, steaming, ஆவி, உணவகம், உணவு, சூப், நூடூல்ஸ், பறக்கும், ராமென்
🍝	food, meatball, meatballs, pasta, restaurant, spaghetti, இத்தாலிய, உணவகம், உணவு, தக்காளி, நூடூல்ஸ், பால்ஸ், மீட், ஸ்பாகெட்டி, ஸ்பெகட்டி
🍞	bread, carb, carbs, food, grain, loaf, restaurant, toast, wheat, உணவகம், உணவு, சாண்ட்விச், டோஸ்ட், பிரெட், ரொட்டி
🍟	fast, food, french, fries, fry, ஃபிரெஞ்சு, ஃபிரென்ச், ஃபிரைஸ், ஃப்ரெஞ்சு, ஃப்ரென்ச், ஃப்ரைஸ், உணவகம், உணவு, உருளை, துரித, வறுவல்
🍠	food, potato, roasted, sweet, உணவு, உருளைக்கிழங்கு, கிழங்கு, சர்க்கரைவள்ளிக், பொட்டேடோ, வறுத்த, வறுத்தது, ஸ்வீட்
🍡	dango, dessert, japanese, skewer, stick, sweet, உணவகம், உணவு, உருண்டைகள், குச்சியில், ஜப்பானிய, டேங்கோ
🍢	food, kebab, oden, restaurant, seafood, skewer, stick, உணவு, ஓடேன், கடல், கபாப், குச்சி, ஸ்கியூவர்
🍣	food, sushi, உணவகம், உணவு, சுஷி, மீன்
🍤	fried, prawn, shrimp, tempura, இறால், உணவகம், உணவு, கடல், வறுத்த
🍥	cake, fish, food, pastry, restaurant, swirl, ஃபிஷ், இனிப்பு, உணவகம், உணவு, கடல், கேக், சுருள், டெஸர்ட், வடிவ
🍦	cream, dessert, food, ice, icecream, restaurant, serve, soft, sweet, உணவகம், உணவு, ஐஸ், ஐஸ்க்ரீம், கோன், டெஸர்ட்
🍧	dessert, ice, restaurant, shaved, sweet, இனிப்பு, உணவகம், உணவு, ஊற்றிய, ஐஸ்கிரீம், ஐஸ்க்ரீம், சிரப், டெஸர்ட், ஷேவ்ட், ஸ்கூப்
🍨	cream, dessert, food, ice, restaurant, sweet, உணவகம், உணவு, ஐஸ்கிரீம், ஐஸ்க்ரீம், டெஸர்ட்
🍩	breakfast, dessert, donut, doughnut, food, sweet, இனிப்பு, உணவகம், உணவு, டெஸர்ட், டோனட்
🍪	chip, chocolate, cookie, dessert, sweet, இனிப்பு, உணவகம், உணவு, குக்கீ, சாக்லேட், சிப்ஸ், டெஸர்ட், ரொட்டி
🍫	bar, candy, chocolate, dessert, halloween, sweet, tooth, இனிப்பு, உணவகம், உணவு, சாக்லேட், பார், பிரியர்
🍬	candy, cavities, cavity, dessert, halloween, restaurant, sweet, tooth, wrapper, இனிப்பு, உணவு, கேண்டி, கேன்டி, மிட்டாய்
🍭	candy, dessert, food, lollipop, restaurant, sweet, இனிப்பு, உணவு, குச்சிமிட்டாய், மிட்டாய், லாலிபாப்
🍮	custard, dessert, pudding, sweet, இனிப்பு, உணவகம், உணவு, கஸ்டர்டு, டெஸர்ட், புட்டிங்
🍯	barrel, bear, food, honey, honeypot, jar, pot, sweet, இனிப்பு, உணவகம், உணவு, குவளை, ஜாடி, தேன், பானை, பூ, வின்னி, ஹனிபாட்
🍰	cake, dessert, pastry, shortcake, slice, sweet, இனிப்பு, உணவகம், உணவு, கேக், டெஸர்ட், துண்டு, பீஸ்
🍱	bento, box, food, உணவகம், உணவு, டப்பா, பாக்ஸ், பெட்டி, பென்டோ
🍲	food, of, pot, soup, stew, உணவகம், உணவு, குழம்பு, கூட்டு, சாம்பார், சூடான, சூப், நிறைய, பாத்திரத்தில், பாத்திரம்
🍳	breakfast, cooking, easy, egg, fry, frying, over, pan, restaurant, side, sunny, up, உணவு, காஃப், சமையல், பாயில், முட்டை, ஹாஃப்
🍴	breakfast, breaky, cooking, cutlery, deliciou, delicious, dinner, eat, feed, food, fork, hungry, knife, lunch, restaurant, yum, yummy, அற்புதம், இரவு, உணவகம், உணவு, கத்தி, கத்தியும், காலை, நேரம், பசி, மதிய, முள்கரண்டி, முள்கரண்டியும்
🍵	beverage, cup, drink, handle, oolong, tea, teacup, ஊலாங், கப், குடித்தல், கைப்பிடி, தேனீர், தேனீர்க்கோப்பை, பானம்
🍶	bar, beverage, bottle, cup, drink, restaurant, sake, உணவகம், கோப்பையும், சேக், பாட்டிலும், பானம், பார், மது, மதுபானம்
🍷	alcohol, bar, beverage, booze, club, drink, drinking, drinks, glas, glass, restaurant, wine, உணவகம், கோப்பை, பானம், மது, மதுக்கோப்பை
🍸️	alcohol, bar, booze, club, cocktail, drink, drinking, drinks, glas, glass, mad, martini, men, உணவகம், காக்டெயில், கிளாஸ், பானம், மது, மதுக்கலவை
🍹	alcohol, bar, booze, club, cocktail, drink, drinking, drinks, drunk, mai, party, tai, tropic, tropical, tropics, உணவகம், ஜூஸ், பழச்சாறு, பானம், விருந்து
🍺	alcohol, ale, bar, beer, booze, drink, drinking, drinks, mug, octoberfest, oktoberfest, pint, stein, summer, உணவகம், குவளை, கோப்பை, பானம், பீர், விருந்து
🍻	alcohol, bar, beer, booze, bottom, bottoms, cheer, cheers, clink, clinking, drink, drinking, drinks, mug, mugs, உணவகம், குவளைகள், கோப்பை, பானம், பீர், விருந்து
🍼	babies, baby, birth, born, bottle, drink, infant, milk, newborn, ஃபீடிங், குழந்தை, சிறுபிள்ளைத்தனம், பாட்டில், பானம், பால்
🍾	bar, bottle, cork, drink, popping, கார்க், பாட்டில், பானம், பார், பீச்சடிக்கும், பீச்சியடி, பீச்சியடிக்கும்
🍿	corn, movie, pop, popcorn, உணவு, காரன், திரைப்படம், பாப், பாப்கார்ன், பொருட்காட்சி
🎀	celebration, ribbon, கொண்டாட்டம், திறப்பு, ரிப்பன், விருந்து, விழா
🎁	birthday, bow, box, celebration, christma, christmas, gift, present, surprise, wrapped, ஆச்சரிய, கொண்டாட்டம், சர்ப்ரைஸ், பரிசு, பிறந்தநாள், மூடப்பட்ட
🎂	bday, birthday, cake, celebration, dessert, happy, pastry, sweet, இனிப்பு, உணவு, கேக், கொண்டாட்டம், பண்டம், பிறந்தநாள், பேஸ்ட்ரி, மாவுப், வாழ்த்துகள், விருந்து
🎃	celebration, halloween, jack, lantern, pumpkin, கொண்டாட்டம், திருஷ்டி, பூசணிக்காய், முகம், ஹாலோவீன், ஹேலோவின்
🎄	celebration, christma, christmas, tree, காலம், கிறிஸ்துமஸ், கொண்டாட்டம், பசுமை, மரம்
🎆	boom, celebration, entertainment, firework, fireworks, yolo, ஒளி, கொண்டாட்டம், சத்தம், தீபாவளி, பட்டாசு, பண்டிகை, வானவேடிக்கை
🎇	boom, celebration, firework, fireworks, sparkle, sparkler, ஒளி, கொண்டாட்டம், தீபாவளி, பண்டிகை, மத்தாப்பு, வான, வேடிக்கை
🎈	balloon, birthday, celebrate, celebration, குழந்தைகள், கொண்டாட்டம், திருவிழா, பலூன், பிறந்தநாள், ஹீலியம்
🎉	awesome, birthday, celebrate, celebration, excited, hooray, party, popper, tada, woohoo, அறிவிப்பு, கொண்டாட்டம், பாப்பர், பார்ட்டி, பிறந்தநாள், வண்ண, விருந்து, வெற்றி, வேடிக்கை
🎊	ball, celebrate, celebration, confetti, party, woohoo, காகிதங்களைத், கொண்டாட்டம், திருமணம், தூவும், பந்து, பார்ட்டி, பிறந்தநாள், வண்ணக், வாழ்த்துகள்
🎋	banner, celebration, japanese, tanabata, tree, கொண்டாட்டம், ஜப்பான், தனபதா, தானாபாதா, தோரணம், மரம்
🎍	bamboo, celebration, decoration, japanese, pine, plant, அலங்காரம், கொண்டாட்டம், ஜப்பான், புத்தாண்டு, பைன், மூங்கில்
🎎	celebration, doll, dolls, festival, japanese, கொண்டாட்டம், ஜப்பானிய, ஜப்பான், திருவிழா, பொம்மைகள்
🎏	carp, celebration, streamer, குழந்தைகள், கெண்டை, கொடி, கொண்டாட்டம், ஜப்பான், தினம், நாட்டின், பறக்கும், மீன், விடுமுறை
🎐	bell, celebration, chime, wind, ஓசை, காற்றில், சிம், பறக்கும், மணி, மணியோசை
🎑	celebration, ceremony, moon, viewing, அறுவடை, உணவுகளை, கொண்டாட்டம், நிலவிற்குப், நிலவு, படைத்தல்
🎒	backpack, backpacking, bag, bookbag, education, rucksack, satchel, school, கல்வி, தோள், பள்ளிக்கூட, பள்ளிக்கூடம், பள்ளிப், பேக்பேக், பை, மாணவர்கள்
🎓️	cap, celebration, clothing, education, graduation, hat, scholar, கல்லூரி, கல்வி, கொண்டாட்டம், தொப்பி, பட்டதாரி, பட்டமளிப்பு, பட்டமளிப்புத், பட்டம்
🎠	carousel, entertainment, horse, இராட்டினம், குதிரை, கேராசூல், கேரொசல், பொழுதுபோக்கு, ராட்டின, ராட்டினக், ராட்டினம்
🎡	amusement, ferri, ferris, park, theme, wheel, ஃபெர்ரிஸ், சக்கரம், பூங்கா, பொருட்காட்சி, பொழுதுபோக்கு, ரங்க, ராட்டினம்
🎢	amusement, coaster, park, roller, theme, கோஸ்டர், பூங்கா, பொழுதுபோக்கு, பொழுதுபோக்குப், ராட்டினம், ரோலர், ரோலர்கோஸ்டர்
🎣	entertainment, fish, fishing, pole, sport, தூண்டில், பிடித்தல், பொழுதுபோக்கு, மீனும், மீன், மீன்தூண்டிலும்
🎤	karaoke, mic, microphone, music, sing, sound, ஒலிவாங்கி, கரோக்கி, பாட்டு, பேச்சு, மைக், மைக்ரோஃபோன்
🎥	bollywood, camera, cinema, film, hollywood, movie, record, கேமரா, கோலிவுட், சினிமா, செய், டோலிவுட், திரைப்படம், படம், பதிவு, பாலிவுட், பொழுதுபோக்கு, மாலிவுட், மூவி, வீடியோ, ஹாலிவுட்
🎧️	earbud, headphone, sound, இசை, இயர்பட், ஒலி, கேட்டல், செய்தி, பாடல், பாட்டு, பொழுதுபோக்கு, ஹெட்ஃபோன்
🎨	art, artist, artsy, arty, colorful, creative, entertainment, museum, painter, painting, palette, ஆர்டிஸ்ட், ஓவியம், ஓவியர், கலை, தட்டு, பேலட், பொழுதுபோக்கு, வண்ணங்கள், வண்ணத்
🎩	clothe, clothes, clothing, fancy, formal, hat, magic, top, tophat, ஆடை, ஆண், ஆபிரஹாம், உடை, தொப்பி, பெரிய, பொழுதுபோக்கு, மாயாஜாலம், மேஜிக், லிங்கன்
🎪	circu, circus, tent, கூடாரம், சர்க்கஸ், பொழுதுபோக்கு, மகிழ்ச்சி, வித்தை
🎫	admission, stub, ticket, அனுமதி, டிக்கெட், நுழைவுச்சீட்டு, பொழுதுபோக்கு
🎬️	action, board, clapper, movie, கிளாப், கிளாப்பர், சினிமா, திரைப்படம், பலகை, பொருள், போர்டு
🎭️	actor, actres, actress, art, arts, entertainment, mask, performing, theater, theatre, thespian, கலை, தியேட்டர், தெருக்கூத்து, நடிப்பு, நாடகம், நிகழ்த்துகலை, முக, முகமூடி, முடி
🎮️	controller, entertainment, game, video, எக்ஸ்பாக்ஸ், கன்ட்ரோலர், கேம், சாதனம், பிளே, விளையாட்டு, வீடியோ, ஸ்டேஷன்
🎯	bull, bullseye, dart, direct, entertainment, game, hit, target, அடி, இலக்கு, எறி, குறி, குறிபார்த்தல், கேம், சரியான, டார்ட், துல்லியமான
🎰	casino, gamble, gambling, game, machine, slot, slots, இயந்திரம், கேம்ப்ளிங், சூதாட்டம், மிஷின், விளையாட்டு, ஸ்லாட்
🎱	8ball, ball, billiard, eight, game, pool, உள்ளரங்க, எட்டு, பந்து, பில்லியர்ட், பில்லியர்ட்ஸ், விளையாட்டு
🎲	dice, die, entertainment, game, உருட்டுதல், டைஸ், தாயம், பகடை, பொழுதுபோக்கு, விளையாட்டு
🎳	ball, bowling, game, sport, strike, செய்தல், பந்து, பந்தை, பவுலிங், பால், பௌலிங், விளையாட்டு
🎴	card, cards, flower, game, japanese, playing, சீட்டு, பூ, விளையாட்டு
🎵	music, musical, note, sound, இசை, இசைக், கீர்த்தனை, குறிப்பு, சங்கீதம், பாடல், பாட்டு, மொழி
🎶	music, musical, note, notes, sound, இசை, இசைக், ஒலி, குறிப்பு, குறிப்புகள், பாடல்
🎷	instrument, music, sax, saxophone, இசை, இசைக்கருவி, கத்ரி, கருவி, காற்று, கோபால்நாத், சாக்ஸபோன்
🎸	guitar, instrument, music, strat, இசை, இசைக்கருவி, எலக்ட்ரிக், கிட்டார், கிதார், மேற்கத்திய, வெஸ்டர்ன்
🎹	instrument, keyboard, music, musical, piano, இசை, இசைக்கருவி, கீபோர்டு, கீபோர்ட், பாடல், பியானோ, மியூசிக்
🎺	instrument, music, trumpet, இசை, இசைக்கருவி, ஊதுகொம்பு, கருவி, டிரம்பட்
🎻	instrument, music, violin, இசை, இசைக்கருவி, கருவி, கர்நாடக, சங்கீதம், தந்தி, பக்க, வயலின், வாத்தியம், வில்
🎼	music, musical, note, score, இசை, இசைக், குறிப்பு, கோர்ப்பு, நோட்டு, பாடல், மியூஸிகல், ஸ்கோர்
🎽	athletic, athletics, running, sash, shirt, அத்லெடிக்ஸ், ஆடை, ஓட்டப்பந்தயச், சட்டை, தடகளம், ரன்னிங், விளையாட்டு, வீரருக்கான
🎾	ball, racquet, sport, tenni, tennis, டென்னிஸ், பந்து, பால், மட்டை, விளையாட்டு
🎿	ski, skis, snow, sport, பனி, பனிச்சறுக்கு, பலகை, விளையாட்டு, ஸ்கீ
🏀	ball, basketball, hoop, sport, கூடைப்பந்து, பால், பாஸ்கெட், பேஸ்கட், விளையாட்டு
🏂️	ski, snow, snowboard, snowboarder, sport, நபர், பனிச்சறுக்கு, விளையாட்டு, வீரர், ஸ்கீ, ஸ்கீயிங், ஸ்னோபோர்டர், ஸ்னோபோர்டிங்
🏃	fast, hurry, marathon, move, person, quick, race, racing, run, running, rush, speed, ஆண், ஓட்டப்பந்தயம், ஓட்டம், நபர், பரபரப்பு, மாரத்தான், வருகிறேன், விளையாட்டு, வேகம்
🏃‍♀️	fast, hurry, marathon, move, quick, race, racing, run, running, rush, speed, woman, ஓடுதல், ஓடும், ஓட்டம், நபர், பெண், மாரத்தான், வருகிறேன், விரைவு
🏃‍♀️‍➡️	facing, fast, hurry, marathon, move, quick, race, racing, right, run, running, rush, speed, woman
🏃‍♂️	fast, hurry, man, marathon, move, quick, race, racing, run, running, rush, speed, ஆண், ஓடும், ஓட்டம்
🏃‍♂️‍➡️	facing, fast, hurry, man, marathon, move, quick, race, racing, right, run, running, rush, speed
